Timestamp,X,Y,Z
2569-08-21 12:24:16.805,-0.053,0.375,0.039
2569-08-21 12:24:17.674,-0.053,0.375,0.039
2569-08-21 12:24:17.677,-0.053,0.375,0.039
2569-08-21 12:24:17.681,-0.053,0.375,0.039
2569-08-21 12:24:17.752,-0.053,0.375,0.039
2569-08-21 12:24:17.753,-0.053,0.375,0.039
2569-08-21 12:24:17.753,-0.053,0.375,0.039
2569-08-21 12:24:17.757,-0.053,0.375,0.039
2569-08-21 12:24:17.757,-0.053,0.375,0.039
2569-08-21 12:24:17.778,-0.053,0.375,0.039
2569-08-21 12:24:17.778,-0.053,0.375,0.039
2569-08-21 12:24:17.782,-0.053,0.375,0.039
2569-08-21 12:24:17.782,-0.053,0.375,0.039
2569-08-21 12:24:17.793,-0.053,0.375,0.039
2569-08-21 12:24:17.802,-0.053,0.375,0.039
2569-08-21 12:24:17.802,-0.053,0.375,0.039
2569-08-21 12:24:17.813,-0.053,0.375,0.039
2569-08-21 12:24:17.813,-0.053,0.375,0.039
2569-08-21 12:24:17.813,-0.053,0.375,0.039
2569-08-21 12:24:17.825,-0.053,0.375,0.039
2569-08-21 12:24:17.826,-0.053,0.375,0.039
2569-08-21 12:24:17.829,-0.053,0.375,0.039
2569-08-21 12:24:17.829,-0.053,0.375,0.039
2569-08-21 12:24:17.833,-0.053,0.375,0.039
2569-08-21 12:24:17.833,-0.053,0.375,0.039
2569-08-21 12:24:17.838,-0.053,0.375,0.039
2569-08-21 12:24:17.847,-0.053,0.375,0.039
2569-08-21 12:24:17.847,-0.053,0.375,0.039
2569-08-21 12:24:17.853,-0.053,0.375,0.039
2569-08-21 12:24:17.853,-0.053,0.375,0.039
2569-08-21 12:24:17.857,-0.053,0.375,0.039
2569-08-21 12:24:17.858,-0.053,0.375,0.039
2569-08-21 12:24:17.858,-0.053,0.375,0.039
2569-08-21 12:24:17.867,-0.053,0.375,0.039
2569-08-21 12:24:17.867,-0.053,0.375,0.039
2569-08-21 12:24:17.871,-0.053,0.375,0.039
